date,max_temp,min_temp
2026-06-25,17.3,6.8
2026-06-26,21.0,8.8
2026-06-27,13.1,3.6
2026-06-28,9.0,1.1
2026-06-29,14.2,0.6
2026-06-30,17.1,1.3
2026-07-01,22.5,3.9
